DispositionScore,PlanetaryRadius[Earthradii,TCEPlanetNumbe,StellarEffectiveTemperatureUpperUnc.[K,TransitSignal-to-Nois,ExoplanetCandidate
0.0,90.37,1.0,173.0,37.5,0.0
0.972,1.68,1.0,83.0,16.0,1.0
0.994,1.58,2.0,181.0,10.3,1.0
0.0,50.88,1.0,161.0,2424.0,0.0
0.999,1.53,7.0,107.0,22.7,1.0
0.997,1.53,1.0,162.0,13.8,1.0
0.936,0.92,1.0,177.0,12.5,1.0
0.0,70.65,1.0,181.0,362.1,0.0
0.925,1.29,1.0,149.0,22.0,1.0
0.0,3.39,1.0,139.0,19.0,0.0
0.0,12.93,1.0,58.0,88.8,0.0
0.991,1.67,1.0,75.0,11.1,1.0
0.0,0.81,3.0,146.0,9.2,0.0
1.0,2.7,1.0,169.0,29.5,1.0
0.0,38.37,1.0,155.0,249.4,0.0
0.0,0.54,1.0,146.0,15.5,0.0
0.998,1.31,1.0,84.0,23.9,1.0
0.76,1.47,1.0,167.0,12.6,1.0
0.0,60.26,1.0,166.0,2055.9,0.0
0.0,1.03,1.0,128.0,18.7,0.0
0.993,1.96,1.0,175.0,18.3,1.0
0.956,1.69,1.0,74.0,17.7,1.0
0.0,32.86,1.0,177.0,7.7,0.0
0.0,45.24,1.0,219.0,30.0,0.0
